===Database dulich_web

== Table structure for table project

|------
|Column|Type|Null|Default
|------
|//**id**//|int(10)|No|
|_name|varchar(200)|Yes|NULL
|_province_id|int(10)|Yes|NULL
|_district_id|int(10)|Yes|NULL
|_lat|double|Yes|NULL
|_lng|double|Yes|NULL
== Dumping data for table project

|1|13B Conic Phong Phu|1|1|10.71240234375|106.64177703857
|2|13D Asia Phu My|1|1|10.705533027649|106.64806365967
|3|13E Phong Phu|1|1|10.704967498779|106.64633178711
|4|584 Tan Kien|1|1|10.708187103272|106.60097503662
|5|6B Intresco|1|1|10.720191001892|106.68676757812
|6|A.View|1|1|10.71292591095|106.64617919922
|7|Amazing City|1|1|10.737606048584|106.55274963379
|8|An Ha Lotus|1|1|10.814573287964|106.51580047607
|9|An Lac Residence|1|1|10.74085521698|106.54239654541
|10|An Phu Tay|1|1|10.683333396912|106.59999847412
|11|Calla Garden|1|1|10.716975212097|106.65301513672
|12|Camellia Garden|1|1|10.719439506531|106.66181945801
|13|Citizen Trung Son|1|1|10.73055267334|106.68878936768
|14|Conic Dinh Khiem|1|1|10.709337234497|106.64176177978
|15|Conic Dong Nam A|1|1|10.709321022034|106.64177703857
|16|Conic Garden|1|1|10.710923194885|106.64198303223
|17|Dai Phuc Green Villas|1|1|10.717950820923|106.68319702148
|18|Duong Hong Garden House|1|1|10.720993041992|106.66110992432
|19|Greenlife 13C|1|1|10.713145256043|106.64419555664
|20|Happy City|1|1|10.713311195373|106.65032958984
|21|Him Lam 6A|1|1|10.729124069214|106.68711853027
|22|Hoang Thap Plaza|1|1|10.731473922729|106.68936920166
|23|Hong Linh Plaza|1|1|10.724812507629|106.66439056397
|24|Hong Quang 13A Nam Sai Gon|1|1|10.711993217468|106.63779449463
|25|HQC An Phu Tay|1|1|10.688013076782|106.60849761963
|26|HQC Plaza|1|1|10.69362449646|106.6093826294
|27|Investco Green City|1|1|10.728575706482|106.68389129639
|28|KCN Phong Phu|1|1|10.698356628418|106.64340209961
|29|KDC 6B T30|1|1|10.714260101318|106.68594360352
|30|KDC Ap 5 Phong Phu|1|1|10.725612640381|106.64627075195
|31|KDC Binh Hung|1|1|10.722487449646|106.65581512451
|32|KDC Dai Phu|1|1|10.739863395691|106.54822540283
|33|KDC Gia Phu|1|1|10.770943641663|106.5527267456
